Method,Category,Task,Keypoints,Time,Raw_Matches,Good_Matches,Inliers
SIFT,botol,rotasi,23,0.025808334350585938,23,9,7
SIFT,botol,skala,23,0.025808334350585938,23,6,4
SIFT,botol,iluminasi,23,0.025808334350585938,23,9,9
SIFT,botol,oklusi,23,0.025808334350585938,23,11,11
SIFT,buku,rotasi,119,0.0241851806640625,119,32,28
SIFT,buku,skala,119,0.0241851806640625,119,25,19
SIFT,buku,iluminasi,119,0.0241851806640625,119,50,46
SIFT,buku,oklusi,119,0.0241851806640625,119,44,39
SIFT,mainan,rotasi,95,0.015452861785888672,95,32,26
SIFT,mainan,skala,95,0.015452861785888672,95,26,25
SIFT,mainan,iluminasi,95,0.015452861785888672,95,23,22
SIFT,mainan,oklusi,95,0.015452861785888672,95,9,9
SIFT,mug,rotasi,3,0.018859386444091797,3,2,0
SIFT,mug,skala,3,0.018859386444091797,3,2,0
SIFT,mug,iluminasi,3,0.018859386444091797,3,0,0
SIFT,mug,oklusi,3,0.018859386444091797,3,2,0
SIFT,remote,rotasi,94,0.020796775817871094,94,6,0
SIFT,remote,skala,94,0.020796775817871094,94,12,7
SIFT,remote,iluminasi,94,0.020796775817871094,94,15,14
SIFT,remote,oklusi,94,0.020796775817871094,94,10,6
ORB,botol,rotasi,76,0.14647722244262695,76,21,21
ORB,botol,skala,76,0.14647722244262695,76,12,12
ORB,botol,iluminasi,76,0.14647722244262695,76,8,8
ORB,botol,oklusi,76,0.14647722244262695,76,15,15
ORB,buku,rotasi,675,0.005301713943481445,675,43,40
ORB,buku,skala,675,0.005301713943481445,675,52,51
ORB,buku,iluminasi,675,0.005301713943481445,675,73,71
ORB,buku,oklusi,675,0.005301713943481445,675,101,96
ORB,mainan,rotasi,482,0.004387378692626953,482,41,34
ORB,mainan,skala,482,0.004387378692626953,482,66,65
ORB,mainan,iluminasi,482,0.004387378692626953,482,44,42
ORB,mainan,oklusi,482,0.004387378692626953,482,6,6
ORB,mug,rotasi,19,0.0024063587188720703,19,3,0
ORB,mug,skala,19,0.0024063587188720703,19,0,0
ORB,mug,iluminasi,19,0.0024063587188720703,19,0,0
ORB,mug,oklusi,19,0.0024063587188720703,19,1,0
ORB,remote,rotasi,194,0.003247499465942383,194,5,0
ORB,remote,skala,194,0.003247499465942383,194,4,4
ORB,remote,iluminasi,194,0.003247499465942383,194,21,19
ORB,remote,oklusi,194,0.003247499465942383,194,6,6
